id,region,foco,conflicto,tipo,estado,sectores,exposicion,teatro,tier,lat,lon
31,Asia-Pacífico,China - Taiwán,China–Taiwán,Riesgo interestatal crítico,Tensión sostenida — riesgo crítico,"Tecnología, Minerales críticos, Defensa, Banca",Alta,Indo-Pacífico,Núcleo,24.0,121.0
32,Asia-Pacífico,Myanmar,Guerra civil de Myanmar,Guerra civil generalizada,Activo — alta fragmentación,Minería,Media,—,Watchlist,21.9,96.1
33,Asia-Pacífico,Afganistán,Insurgencia (ISIS-K),Conflicto interno e insurgencia,Activo,Minería,Baja,—,Excluido,34.5,69.2
34,Asia-Pacífico,India - Pakistán,Cachemira,Conflicto territorial,"Reactivado — escalada aérea (Op. Sindoor, may-2025)","Banca, Defensa",Media,—,Watchlist,34.1,74.8
35,Asia-Pacífico,Corea del Norte - Corea del Sur,Península Coreana,Conflicto interestatal congelado,Congelado — riesgo de cola,"Tecnología, Banca",Media,—,Watchlist,38.0,127.0
36,Asia-Pacífico,Filipinas,Conflictos internos,Insurgencia comunista e islamista,Activo,Logística,Baja,—,Excluido,7.0,124.0
37,Asia-Pacífico,India (focos internos),Insurgencia maoísta,Conflicto interno,Activo — baja intensidad,—,Baja,—,Excluido,20.5,82.0
38,Asia-Pacífico,Tailandia (Sur),Insurgencia en el sur,Insurgencia separatista,Activo — localizado,—,Baja,—,Excluido,6.5,101.3
39,Asia-Pacífico,Mar de China Meridional,Disputas marítimas,Disputas territoriales marítimas,Tensión sostenida,"Logística, Energía, Tecnología",Alta (vía nodo 31),Indo-Pacífico,Núcleo,12.0,114.0
40,Américas,Haití,Crisis de seguridad,Colapso institucional por pandillas,Activo — colapso,"Banca, Logística",Alta,Américas,Núcleo,18.6,-72.3
41,Américas,México,Guerra de carteles,Conflicto armado interno asimétrico,Escalada — riesgo de acción militar EE.UU. s/ carteles 2026 (verificar primario),"Banca, Logística",Alta,Américas,Núcleo,25.0,-103.0
42,Américas,Colombia,Conflicto armado interno,Conflicto armado interno remanente,Activo — remanente,"Energía, Agro",Alta,Américas,Núcleo,7.0,-73.0
43,Américas,Ecuador,Seguridad interna,Enfrentamiento contra crimen organizado,Activo — conflicto armado interno declarado,"Minería, Banca",Alta,Américas,Núcleo,-2.2,-79.9
44,Américas,Venezuela - Guyana,Esequibo / Venezuela,Tensión fronteriza e intervención,Intervención EE.UU. / securitización energética 2026 (verificar primario),"Energía, Banca",Alta,Américas,Núcleo,6.0,-59.5
